species,lon,lat,source
Lipaugus lanioides,-40.6167,-20.1,Hasui
Neopelma aurifrons,-40.533333,-20.1,Hasui
Hemitriccus orbitatus,-40.533333,-20.1,Hasui
Philydor atricapillus,-40.283333,-19.766667,Hasui
Neopelma aurifrons,-40.15,-19.933333,Hasui
Philydor atricapillus,-51.416667,-24.5,Hasui
Drymophila ochropyga,-51.416667,-24.5,Hasui
Anabacerthia lichtensteini,-51.416667,-24.5,Hasui
Phylloscartes difficilis,-51.416667,-24.5,Hasui
Dysithamnus xanthopterus,-45.883333,-23.633333,Hasui
Hypoedaleus guttatus,-45.883333,-23.633333,Hasui
Ilicura militaris,-45.883333,-23.633333,Hasui
Merulaxis ater,-45.883333,-23.633333,Hasui
Rhopias gularis,-45.883333,-23.633333,Hasui
Neopelma aurifrons,-45.883333,-23.633333,Hasui
Phylloscartes oustaleti,-45.883333,-23.633333,Hasui
Platyrinchus leucoryphus,-45.883333,-23.633333,Hasui
Anabacerthia amaurotis,-45.883333,-23.633333,Hasui
Anabazenops fuscus,-45.883333,-23.633333,Hasui
Drymophila ochropyga,-45.883333,-23.633333,Hasui
Haplospiza unicolor,-45.883333,-23.633333,Hasui
Heliobletus contaminatus,-45.883333,-23.633333,Hasui
Philydor atricapillus,-45.883333,-23.633333,Hasui
Saltator fuliginosus,-45.883333,-23.633333,Hasui
Schiffornis virescens,-45.883333,-23.633333,Hasui
Sclerurus scansor,-45.883333,-23.633333,Hasui
Neopelma chrysolophum,-45.883333,-23.633333,Hasui
Cichlocolaptes leucophrus,-45.883333,-23.633333,Hasui
Mionectes rufiventris,-45.883333,-23.633333,Hasui
Phylloscartes oustaleti,-45.916667,-23.75,Hasui
Dysithamnus xanthopterus,-45.916667,-23.75,Hasui
Platyrinchus leucoryphus,-45.916667,-23.75,Hasui
Onychorhynchus swainsoni,-45.916667,-23.75,Hasui
Anabacerthia amaurotis,-49.1667,-20.1667,Hasui
Rhopias gularis,-49.1667,-20.1667,Hasui
Philydor atricapillus,-43.2994,-22.9492,Hasui
Rhopias gularis,-43.2994,-22.9492,Hasui
Neopelma chrysolophum,-48.2,-24.183333,Hasui
Philydor atricapillus,-47.810217,-24.452717,Hasui
Schiffornis virescens,-51.25,-25.333333,Hasui
Anabacerthia lichtensteini,-48.1,-21.05,Hasui
Philydor atricapillus,-53.716667,-23.35,Hasui
Anabacerthia lichtensteini,-53.716667,-23.35,Hasui
Sclerurus scansor,-53.716667,-23.35,Hasui
Hemitriccus orbitatus,-53.716667,-23.35,Hasui
Ilicura militaris,-53.716667,-23.35,Hasui
Schiffornis virescens,-53.716667,-23.35,Hasui
Mionectes rufiventris,-50.055278,-23.974167,Hasui
Schiffornis virescens,-50.138611,-23.974167,Hasui
Rhopias gularis,-47.327222,-23.776667,Hasui
Rhopias gularis,-43.2833,-22.5,Hasui
Neopelma chrysolophum,-43.166667,-22.516667,Hasui
Rhopias gularis,-47.016667,-24.366667,Hasui
Schiffornis virescens,-47.016667,-24.366667,Hasui
Philydor atricapillus,-47,-24.35,Hasui
Haplospiza unicolor,-47,-24.316667,Hasui
Myrmotherula unicolor,-47.233333,-24.283333,Hasui
Haplospiza unicolor,-47.821267,-24.733383,Hasui
Anabacerthia lichtensteini,-44.769796,-23.182376,Hasui
Haplospiza unicolor,-44.769796,-23.182376,Hasui
Saltator fuliginosus,-44.769796,-23.182376,Hasui
Neopelma chrysolophum,-46.316667,-23.783333,Hasui
Anabacerthia lichtensteini,-46.316667,-23.783333,Hasui
Sclerurus scansor,-46.316667,-23.783333,Hasui
Drymophila ochropyga,-46.316667,-23.783333,Hasui
